epoch,loss,train classification accuracy,Classified as target,Average similarity with target,Average similarity with correct caption,test_loss,test classification accuracy,Test-Classified as target,Test-Average similarity with target,Test-Average similarity with correct caption,norm v
83,0.205678239,0.96328125,1.54,0.22887647,0.318063526,,,,,,
84,0.205684428,0.96671875,1.38,0.22872455,0.318172484,,,,,,
85,0.205682442,0.96234375,1.2,0.22877337,0.317733322,,,,,,
86,0.205664465,0.96,1.5,0.22921404,0.317890821,,,,,,
87,0.205683644,0.9628125,1.2,0.22874384,0.317740519,,,,,,
88,0.205674741,0.9596875,1.3,0.2289621,0.317924479,,,,,,
89,0.20566304,0.96515625,1.66,0.22924899,0.317971258,,,,,,
90,0.205669087,0.96203125,0.76,0.2291007,0.317915019,,,,,,
91,0.205670426,0.9603125,1.26,0.22906789,0.317860428,,,,,,
92,0.205675314,0.96265625,1.14,0.22894803,0.317876055,,,,,,
93,0.205654093,0.960625,1.42,0.22946823,0.318169001,,,,,,
94,0.205661163,0.960625,1.2,0.22929493,0.318170769,,,,,,
95,0.205629086,0.96078125,1.66,0.2300811,0.318212028,,,,,,
96,0.205659842,0.9628125,1.28,0.22932729,0.31817592,,,,,,
97,0.205647568,0.96046875,1.5,0.22962813,0.31855364,,,,,,
98,0.205671113,0.9603125,1.04,0.22905104,0.31810045,,,,,,
99,0.205648383,0.9615625,1.6,0.22960818,0.317795663,,,,,,
100,0.205632601,0.9609375,1.4,0.22999503,0.318603757,0.345076621,0.953125,0.0078125,0.23000717,0.319642373,1.446982
101,0.205636229,0.9546875,1.26,0.22990613,0.317969003,,,,,,
102,0.2056363,0.9603125,1.58,0.22990426,0.31826171,,,,,,
103,0.205635569,0.95828125,1.2,0.22992225,0.318450525,,,,,,
104,0.205641535,0.96203125,1.38,0.22977605,0.318086936,,,,,,
105,0.205634924,0.95921875,1.34,0.22993805,0.318772923,,,,,,
106,0.20561437,0.961875,1.22,0.23044176,0.31870514,,,,,,
107,0.205626414,0.96421875,1.24,0.23014662,0.319036759,,,,,,
108,0.205621806,0.95828125,1.46,0.23025957,0.317973068,,,,,,
109,0.205624829,0.959375,1.2,0.23018551,0.318884686,,,,,,
110,0.205615529,0.9584375,1.14,0.23041351,0.318252833,,,,,,
111,0.205615599,0.9615625,1.18,0.23041172,0.318440941,,,,,,
112,0.205622393,0.95703125,1.3,0.23024517,0.318006188,,,,,,
113,0.205615543,0.959375,1.34,0.23041317,0.318486789,,,,,,
114,0.205625713,0.9590625,1.1,0.23016384,0.318255763,,,,,,
115,0.205614963,0.9575,1.18,0.23042732,0.318545256,,,,,,
116,0.205608366,0.95609375,1.52,0.23058903,0.318090087,,,,,,
117,0.205594171,0.96,1.52,0.23093691,0.318697104,,,,,,
118,0.205607447,0.95890625,1.4,0.23061147,0.318600283,,,,,,
119,0.205602998,0.96203125,1.22,0.2307206,0.319138622,,,,,,
120,0.205585482,0.95640625,1.38,0.23114993,0.318819568,,,,,,
121,0.205581946,0.9575,1.34,0.23123655,0.318666981,,,,,,
122,0.205590577,0.95984375,1.46,0.23102501,0.318857741,,,,,,
123,0.205596952,0.9575,1.38,0.23086877,0.318898256,,,,,,
124,0.205562588,0.96265625,1.56,0.231711,0.319335561,,,,,,
125,0.205582814,0.95859375,1.42,0.23121528,0.319200519,0.344071209,0.96484375,0.02734375,0.23043898,0.318137815,1.6913615
126,0.205581463,0.9628125,1.16,0.23124842,0.319369369,,,,,,
127,0.205575681,0.96171875,1.54,0.23139009,0.31861424,,,,,,
128,0.205580793,0.96703125,1.2,0.23126481,0.319631397,,,,,,
129,0.205570686,0.95734375,1.12,0.23151267,0.319123352,,,,,,
130,0.205571253,0.9596875,1.22,0.2314986,0.319246175,,,,,,
131,0.20557087,0.9621875,1.36,0.2315081,0.319506069,,,,,,
132,0.2055618,0.96484375,1.44,0.23173034,0.319056412,,,,,,
133,0.205584579,0.96015625,1.22,0.23117201,0.319017932,,,,,,
134,0.205560473,0.96203125,1.62,0.23176284,0.318840656,,,,,,
135,0.205563935,0.96109375,1.28,0.23167801,0.319031801,,,,,,
136,0.205551778,0.9590625,1.3,0.23197596,0.319196123,,,,,,
137,0.205550682,0.9621875,1.24,0.23200288,0.31926075,,,,,,
138,0.205560222,0.96265625,1.44,0.23176907,0.31948852,,,,,,
139,0.205553076,0.965625,1.7,0.23194422,0.319306508,,,,,,
140,0.205563779,0.96265625,1.44,0.23168188,0.318993305,,,,,,
141,0.205548729,0.95953125,1.3,0.23205076,0.31940788,,,,,,
142,0.205534398,0.965625,1.2,0.23240194,0.319182107,,,,,,
143,0.205531493,0.9625,1.38,0.23247318,0.319193387,,,,,,
144,0.20555272,0.9571875,1.06,0.23195288,0.319059072,,,,,,
145,0.205539862,0.96171875,1.36,0.23226807,0.31926554,,,,,,
146,0.205532477,0.95765625,1.32,0.2324491,0.319708564,,,,,,
147,0.20554465,0.95875,1.02,0.23215075,0.319157668,,,,,,
148,0.205538279,0.95546875,1.3,0.23230684,0.319361036,,,,,,
